author,comments,name,press,price,rank
故园风雨前,61条评论,幸得诸君慰平生,清华大学出版社,¥38.80,312.
詹姆斯·法隆,27550条评论,天生变态狂：TED心理学家的脑犯罪之旅,群言出版社,¥23.80,313.
吉多·范·西纳顿,21509条评论,折耳兔瑞奇成长绘本系列（全12册）,中国少年儿童出版社,¥105.20,314.
补梦馆长,937条评论,补梦奇异馆：平行世界的另一个你,百花洲文艺出版社,¥29.40,315.
卡耐基,35249条评论,人性的弱点,北京联合出版公司,¥26.50,316.
海明威,20438条评论,老人与海（2017未删节全新珍藏版，央视朗读者朗读书目）【作家榜,浙江文艺出版社,¥28.70,317.
村上春树,54120条评论,当我谈跑步时，我谈些什么（2015典藏版）,南海出版公司,¥32.20,318.
加古里子,39295条评论,乌鸦面包店（全5册）,新星出版社,¥68.90,319.
毛姆,109910条评论,月亮和六便士(译文经典.精）,上海译文出版社,¥28.60,320.
曾国藩,80552条评论,曾国藩家书—中华经典藏书(精装珍藏本),中国画报出版社,¥22.40,281.
